Water Depth [ft],Factor
15.2559,0.9407
15.2887,0.9413
15.3215,0.9419
15.3543,0.9424
15.3871,0.943
15.4199,0.9436
15.4528,0.9442
15.4856,0.9448
15.5184,0.9454
15.5512,0.946
15.584,0.9466
15.6168,0.9471
15.6496,0.9477
15.6824,0.9483
15.7152,0.9489
15.748,0.9495
15.7808,0.9501
15.8136,0.9507
15.8465,0.9513
15.8793,0.9518
15.9121,0.9524
15.9449,0.953
15.9777,0.9536
16.0105,0.9542
16.0433,0.9548
16.0761,0.9554
16.1089,0.956
16.1417,0.9565
16.1745,0.9571
16.2073,0.9577
16.2402,0.9583
16.273,0.9589
16.3058,0.9595
16.3386,0.9601
16.3714,0.9607
16.4042,0.9612
16.437,0.9616
16.4698,0.962
16.5026,0.9624
16.5354,0.9628
16.5682,0.9632
16.601,0.9636
16.6339,0.964
16.6667,0.9643
16.6995,0.9647
16.7323,0.9651
16.7651,0.9655
16.7979,0.9659
16.8307,0.9663
16.8635,0.9667
16.8963,0.9671
16.9291,0.9674
16.9619,0.9678
16.9948,0.9682
17.0276,0.9686
17.0604,0.969
17.0932,0.9694
17.126,0.9698
17.1588,0.9702
17.1916,0.9705
17.2244,0.9709
17.2572,0.9713
17.29,0.9717
17.3228,0.9721
17.3556,0.9725
17.3885,0.9729
17.4213,0.9733
17.4541,0.9736
17.4869,0.974
17.5197,0.9744
17.5525,0.9748
17.5853,0.9752
17.6181,0.9756
17.6509,0.976
17.6837,0.9764
17.7165,0.9767
17.7493,0.9771
17.7822,0.9775
17.815,0.9779
17.8478,0.9783
17.8806,0.9787
17.9134,0.9791
17.9462,0.9795
17.979,0.9798
18.0118,0.9802
18.0446,0.9806
18.0774,0.981
18.1102,0.9814
18.143,0.9818
18.1759,0.9822
18.2087,0.9826
18.2415,0.9829
18.2743,0.9833
18.3071,0.9837
18.3399,0.9841
18.3727,0.9845
18.4055,0.9849
18.4383,0.9853
18.4711,0.9857
18.5039,0.986
18.5367,0.9864
18.5696,0.9868
18.6024,0.9872
18.6352,0.9876
18.668,0.988
18.7008,0.9884
18.7336,0.9888
18.7664,0.9891
18.7992,0.9895
18.832,0.9899
18.8648,0.9903
18.8976,0.9907
18.9304,0.9911
18.9633,0.9915
18.9961,0.9919
19.0289,0.9922
19.0617,0.9926
19.0945,0.993
19.1273,0.9934
19.1601,0.9938
19.1929,0.9942
19.2257,0.9946
19.2585,0.995
19.2913,0.9953
19.3241,0.9957
19.357,0.9961
19.3898,0.9965
19.4226,0.9969
19.4554,0.9973
19.4882,0.9977
19.521,0.9981
19.5538,0.9984
19.5866,0.9988
19.6194,0.9992
19.6522,0.9996
19.685,1
19.7178,1
19.7507,1
19.7835,1
19.8163,1
19.8491,1
19.8819,1
19.9147,1
19.9475,1
19.9803,1
20.0131,1
20.0459,1
20.0787,1
20.1115,1
20.1444,1
20.1772,1
20.21,1
20.2428,1
20.2756,1
20.3084,1
20.3412,1
20.374,1
20.4068,1
20.4396,1
20.4724,1
20.5052,1
20.5381,1
20.5709,1
20.6037,1
20.6365,1
20.6693,1
20.7021,1
20.7349,1
20.7677,1
20.8005,1
20.8333,1
20.8661,1
20.899,1
20.9318,1
20.9646,1
20.9974,1
21.0302,1
21.063,1
21.0958,1
21.1286,1
21.1614,1
21.1942,1
21.227,1
21.2598,1
21.2927,1
21.3255,1
21.3583,1
21.3911,1
21.4239,1
21.4567,1
21.4895,1
21.5223,1
21.5551,1
21.5879,1
21.6207,1
21.6535,1
21.6864,1
21.7192,1
21.752,1
21.7848,1
21.8176,1
21.8504,1
21.8832,1
21.916,1
21.9488,1
21.9816,1
22.0144,1
22.0472,1
22.0801,1
22.1129,1
22.1457,1
22.1785,1
22.2113,1
22.2441,1
22.2769,1
22.3097,1
22.3425,1
22.3753,1
22.4081,1
22.4409,1
22.4738,1
22.5066,1
22.5394,1
22.5722,1
22.605,1
22.6378,1
22.6706,1
22.7034,1
22.7362,1
22.769,1
22.8018,1
22.8346,1
22.8675,1
22.9003,1
22.9331,1
22.9659,1
22.9987,1
23.0315,1
23.0643,1
23.0971,1
23.1299,1
23.1627,1
23.1955,1
23.2283,1
23.2612,1
23.294,1
23.3268,1
23.3596,1
23.3924,1
23.4252,1
23.458,1
23.4908,1
23.5236,1
23.5564,1
23.5892,1
23.622,1
23.6549,1
23.6877,1
23.7205,1
23.7533,1
23.7861,1
23.8189,1
23.8517,1
23.8845,1
23.9173,1
23.9501,1
23.9829,1
24.0157,1
24.0486,1
24.0814,1
24.1142,1
24.147,1
24.1798,1
24.2126,1
24.2454,1
24.2782,1
24.311,1
24.3438,1
24.3766,1
24.4094,1
24.4423,1
24.4751,1
24.5079,1
24.5407,1
24.5735,1
24.6063,1
24.6391,1
24.6719,1
24.7047,1
24.7375,1
24.7703,1
24.8031,1
24.836,1
24.8688,1
24.9016,1
24.9344,1
24.9672,1
25,1
25.0328,1
25.0656,1
25.0984,1
25.1312,1
25.164,1
25.1969,1
25.2297,1
25.2625,1
25.2953,1
25.3281,1
25.3609,1
25.3937,1
25.4265,1
25.4593,1
25.4921,1
25.5249,1
25.5577,1
25.5906,1
25.6234,1
25.6562,1
25.689,1
25.7218,1
25.7546,1
25.7874,1
25.8202,1
25.853,1
25.8858,1
25.9186,1
25.9514,1
25.9843,1
26.0171,1
26.0499,1
26.0827,1
26.1155,1
26.1483,1
26.1811,1
26.2139,1
26.2467,1
26.2795,1
26.3123,1
26.3451,1
26.378,1
26.4108,1
26.4436,1
26.4764,1
26.5092,1
26.542,1
26.5748,1
26.6076,1
26.6404,1
26.6732,1
26.706,1
26.7388,1
26.7717,1
26.8045,1
26.8373,1
26.8701,1
26.9029,1
26.9357,1
26.9685,1
27.0013,1
27.0341,1
27.0669,1
27.0997,1
27.1325,1
27.1654,1
27.1982,1
27.231,1
27.2638,1
27.2966,1
27.3294,1
27.3622,1
27.395,1
27.4278,1
27.4606,1
27.4934,1
27.5262,1
27.5591,1
27.5919,1
27.6247,1
27.6575,1
27.6903,1
27.7231,1
27.7559,1
27.7887,1
27.8215,1
27.8543,1
27.8871,1
27.9199,1
27.9528,1
27.9856,1
28.0184,1
28.0512,1
28.084,1
28.1168,1
28.1496,1
28.1824,1
28.2152,1
28.248,1
28.2808,1
28.3136,1
28.3465,1
28.3793,1
28.4121,1
28.4449,1
28.4777,1
28.5105,1
28.5433,1
28.5761,1
28.6089,1
28.6417,1
28.6745,1
28.7073,1
28.7402,1
28.773,1
28.8058,1
28.8386,1
28.8714,1
28.9042,1
28.937,1
28.9698,1
29.0026,1
29.0354,1
29.0682,1
29.101,1
29.1339,1
29.1667,1
29.1995,1
29.2323,1
29.2651,1
29.2979,1
29.3307,1
29.3635,1
29.3963,1
29.4291,1
29.4619,1
29.4948,1
29.5276,1
29.5604,1
29.5932,1
29.626,1
29.6588,1
29.6916,1
29.7244,1
29.7572,1
29.79,1
29.8228,1
29.8556,1
29.8885,1
29.9213,1
29.9541,1
29.9869,1
30.0197,1
30.0525,1
30.0853,1
30.1181,1
30.1509,1
30.1837,1
30.2165,1
30.2493,1
30.2822,1
30.315,1
30.3478,1
30.3806,1
30.4134,1
30.4462,1
30.479,1
30.5118,1
30.5446,1
30.5774,1
30.6102,1
30.643,1
30.6759,1
30.7087,1
30.7415,1
30.7743,1
30.8071,1
30.8399,1
30.8727,1
30.9055,1
30.9383,1
30.9711,1
31.0039,1
31.0367,1
31.0696,1
31.1024,1
31.1352,1
31.168,1
31.2008,1
31.2336,1
31.2664,1
31.2992,1
31.332,1
31.3648,1
31.3976,1
31.4304,1
31.4633,1
31.4961,1
31.5289,1
31.5617,1
31.5945,1
31.6273,1
31.6601,1
31.6929,1
31.7257,1
31.7585,1
31.7913,1
31.8241,1
31.857,1
31.8898,1
31.9226,1
31.9554,1
31.9882,1
32.021,1
32.0538,1
32.0866,1
32.1194,1
32.1522,1
32.185,1
32.2178,1
32.2507,1
32.2835,1
32.3163,1
32.3491,1
32.3819,1
32.4147,1
32.4475,1
32.4803,1
32.5131,1
32.5459,1
32.5787,1
32.6115,1
32.6444,1
32.6772,1
32.71,1
32.7428,1
32.7756,1
32.8084,1
