Water Depth [ft],Factor
13.0249,0.897
13.0577,0.898
13.0906,0.899
13.1234,0.9
13.1562,0.901
13.189,0.902
13.2218,0.903
13.2546,0.904
13.2874,0.905
13.3202,0.906
13.353,0.907
13.3858,0.908
13.4186,0.909
13.4514,0.91
13.4843,0.911
13.5171,0.912
13.5499,0.913
13.5827,0.914
13.6155,0.915
13.6483,0.916
13.6811,0.917
13.7139,0.918
13.7467,0.919
13.7795,0.92
13.8123,0.921
13.8451,0.922
13.878,0.923
13.9108,0.924
13.9436,0.925
13.9764,0.926
14.0092,0.927
14.042,0.928
14.0748,0.929
14.1076,0.93
14.1404,0.931
14.1732,0.932
14.206,0.933
14.2388,0.934
14.2717,0.935
14.3045,0.936
14.3373,0.937
14.3701,0.938
14.4029,0.939
14.4357,0.94
14.4685,0.941
14.5013,0.942
14.5341,0.943
14.5669,0.944
14.5997,0.945
14.6325,0.946
14.6654,0.947
14.6982,0.948
14.731,0.949
14.7638,0.95
14.7966,0.951
14.8294,0.952
14.8622,0.953
14.895,0.954
14.9278,0.955
14.9606,0.956
14.9934,0.957
15.0262,0.958
15.0591,0.959
15.0919,0.96
15.1247,0.961
15.1575,0.962
15.1903,0.963
15.2231,0.964
15.2559,0.965
15.2887,0.966
15.3215,0.967
15.3543,0.968
15.3871,0.969
15.4199,0.97
15.4528,0.971
15.4856,0.972
15.5184,0.973
15.5512,0.974
15.584,0.975
15.6168,0.976
15.6496,0.977
15.6824,0.978
15.7152,0.979
15.748,0.98
15.7808,0.981
15.8136,0.982
15.8465,0.983
15.8793,0.984
15.9121,0.985
15.9449,0.986
15.9777,0.987
16.0105,0.988
16.0433,0.989
16.0761,0.99
16.1089,0.991
16.1417,0.992
16.1745,0.993
16.2073,0.994
16.2402,0.995
16.273,0.996
16.3058,0.997
16.3386,0.998
16.3714,0.999
16.4042,1
16.437,1
16.4698,1
16.5026,1
16.5354,1
16.5682,1
16.601,1
16.6339,1
16.6667,1
16.6995,1
16.7323,1
16.7651,1
16.7979,1
16.8307,1
16.8635,1
16.8963,1
16.9291,1
16.9619,1
16.9948,1
17.0276,1
17.0604,1
17.0932,1
17.126,1
17.1588,1
17.1916,1
17.2244,1
17.2572,1
17.29,1
17.3228,1
17.3556,1
17.3885,1
17.4213,1
17.4541,1
17.4869,1
17.5197,1
17.5525,1
17.5853,1
17.6181,1
17.6509,1
17.6837,1
17.7165,1
17.7493,1
17.7822,1
17.815,1
17.8478,1
17.8806,1
17.9134,1
17.9462,1
17.979,1
18.0118,1
18.0446,1
18.0774,1
18.1102,1
18.143,1
18.1759,1
18.2087,1
18.2415,1
18.2743,1
18.3071,1
18.3399,1
18.3727,1
18.4055,1
18.4383,1
18.4711,1
18.5039,1
18.5367,1
18.5696,1
18.6024,1
18.6352,1
18.668,1
18.7008,1
18.7336,1
18.7664,1
18.7992,1
18.832,1
18.8648,1
18.8976,1
18.9304,1
18.9633,1
18.9961,1
19.0289,1
19.0617,1
19.0945,1
19.1273,1
19.1601,1
19.1929,1
19.2257,1
19.2585,1
19.2913,1
19.3241,1
19.357,1
19.3898,1
19.4226,1
19.4554,1
19.4882,1
19.521,1
19.5538,1
19.5866,1
19.6194,1
19.6522,1
19.685,1
19.7178,1
19.7507,1
19.7835,1
19.8163,1
19.8491,1
19.8819,1
19.9147,1
19.9475,1
19.9803,1
20.0131,1
20.0459,1
20.0787,1
20.1115,1
20.1444,1
20.1772,1
20.21,1
20.2428,1
20.2756,1
20.3084,1
20.3412,1
20.374,1
20.4068,1
20.4396,1
20.4724,1
20.5052,1
20.5381,1
20.5709,1
20.6037,1
20.6365,1
20.6693,1
20.7021,1
20.7349,1
20.7677,1
20.8005,1
20.8333,1
20.8661,1
20.899,1
20.9318,1
20.9646,1
20.9974,1
21.0302,1
21.063,1
21.0958,1
21.1286,1
21.1614,1
21.1942,1
21.227,1
21.2598,1
21.2927,1
21.3255,1
21.3583,1
21.3911,1
21.4239,1
21.4567,1
21.4895,1
21.5223,1
21.5551,1
21.5879,1
21.6207,1
21.6535,1
21.6864,1
21.7192,1
21.752,1
21.7848,1
21.8176,1
21.8504,1
21.8832,1
21.916,1
21.9488,1
21.9816,1
22.0144,1
22.0472,1
22.0801,1
22.1129,1
22.1457,1
22.1785,1
22.2113,1
22.2441,1
22.2769,1
22.3097,1
22.3425,1
22.3753,1
22.4081,1
22.4409,1
22.4738,1
22.5066,1
22.5394,1
22.5722,1
22.605,1
22.6378,1
22.6706,1
22.7034,1
22.7362,1
22.769,1
22.8018,1
22.8346,1
22.8675,1
22.9003,1
22.9331,1
22.9659,1
22.9987,1
23.0315,1
23.0643,1
23.0971,1
23.1299,1
23.1627,1
23.1955,1
23.2283,1
23.2612,1
23.294,1
23.3268,1
23.3596,1
23.3924,1
23.4252,1
23.458,1
23.4908,1
23.5236,1
23.5564,1
23.5892,1
23.622,1
23.6549,1
23.6877,1
23.7205,1
23.7533,1
23.7861,1
23.8189,1
23.8517,1
23.8845,1
23.9173,1
23.9501,1
23.9829,1
24.0157,1
24.0486,1
24.0814,1
24.1142,1
24.147,1
24.1798,1
24.2126,1
24.2454,1
24.2782,1
24.311,1
24.3438,1
24.3766,1
24.4094,1
24.4423,1
24.4751,1
24.5079,1
24.5407,1
24.5735,1
24.6063,1
24.6391,1
24.6719,1
24.7047,1
24.7375,1
24.7703,1
24.8031,1
24.836,1
24.8688,1
24.9016,1
24.9344,1
24.9672,1
25,1
25.0328,1
25.0656,1
25.0984,1
25.1312,1
25.164,1
25.1969,1
25.2297,1
25.2625,1
25.2953,1
25.3281,1
25.3609,1
25.3937,1
25.4265,1
25.4593,1
25.4921,1
25.5249,1
25.5577,1
25.5906,1
25.6234,1
25.6562,1
25.689,1
25.7218,1
25.7546,1
25.7874,1
25.8202,1
25.853,1
25.8858,1
25.9186,1
25.9514,1
25.9843,1
26.0171,1
26.0499,1
26.0827,1
26.1155,1
26.1483,1
26.1811,1
26.2139,1
26.2467,1
26.2795,1
26.3123,1
26.3451,1
26.378,1
26.4108,1
26.4436,1
26.4764,1
26.5092,1
26.542,1
26.5748,1
26.6076,1
26.6404,1
26.6732,1
26.706,1
26.7388,1
26.7717,1
26.8045,1
26.8373,1
26.8701,1
26.9029,1
26.9357,1
26.9685,1
27.0013,1
27.0341,1
27.0669,1
27.0997,1
27.1325,1
27.1654,1
27.1982,1
27.231,1
27.2638,1
27.2966,1
27.3294,1
27.3622,1
27.395,1
27.4278,1
27.4606,1
27.4934,1
27.5262,1
27.5591,1
27.5919,1
27.6247,1
27.6575,1
27.6903,1
27.7231,1
27.7559,1
27.7887,1
27.8215,1
27.8543,1
27.8871,1
27.9199,1
27.9528,1
27.9856,1
28.0184,1
28.0512,1
28.084,1
28.1168,1
28.1496,1
28.1824,1
28.2152,1
28.248,1
28.2808,1
28.3136,1
28.3465,1
28.3793,1
28.4121,1
28.4449,1
28.4777,1
28.5105,1
28.5433,1
28.5761,1
28.6089,1
28.6417,1
28.6745,1
28.7073,1
28.7402,1
28.773,1
28.8058,1
28.8386,1
28.8714,1
28.9042,1
28.937,1
28.9698,1
29.0026,1
29.0354,1
29.0682,1
29.101,1
29.1339,1
29.1667,1
29.1995,1
29.2323,1
29.2651,1
29.2979,1
29.3307,1
29.3635,1
29.3963,1
29.4291,1
29.4619,1
29.4948,1
29.5276,1
29.5604,1
29.5932,1
29.626,1
29.6588,1
29.6916,1
29.7244,1
29.7572,1
29.79,1
29.8228,1
29.8556,1
29.8885,1
29.9213,1
29.9541,1
29.9869,1
30.0197,1
30.0525,1
30.0853,1
30.1181,1
30.1509,1
30.1837,1
30.2165,1
30.2493,1
30.2822,1
30.315,1
30.3478,1
30.3806,1
30.4134,1
30.4462,1
30.479,1
30.5118,1
30.5446,1
30.5774,1
30.6102,1
30.643,1
30.6759,1
30.7087,1
30.7415,1
30.7743,1
30.8071,1
30.8399,1
30.8727,1
30.9055,1
30.9383,1
30.9711,1
31.0039,1
31.0367,1
31.0696,1
31.1024,1
31.1352,1
31.168,1
31.2008,1
31.2336,1
31.2664,1
31.2992,1
31.332,1
31.3648,1
31.3976,1
31.4304,1
31.4633,1
31.4961,1
31.5289,1
31.5617,1
31.5945,1
31.6273,1
31.6601,1
31.6929,1
31.7257,1
31.7585,1
31.7913,1
31.8241,1
31.857,1
31.8898,1
31.9226,1
31.9554,1
31.9882,1
32.021,1
32.0538,1
32.0866,1
32.1194,1
32.1522,1
32.185,1
32.2178,1
32.2507,1
32.2835,1
32.3163,1
32.3491,1
32.3819,1
32.4147,1
32.4475,1
32.4803,1
32.5131,1
32.5459,1
32.5787,1
32.6115,1
32.6444,1
32.6772,1
32.71,1
32.7428,1
32.7756,1
32.8084,1
