Water Depth [inch],Factor
187.0079,0.9677
187.4016,0.9681
187.7953,0.9686
188.189,0.9691
188.5827,0.9696
188.9764,0.9701
189.3701,0.9706
189.7638,0.9711
190.1575,0.9716
190.5512,0.9721
190.9449,0.9726
191.3386,0.9731
191.7323,0.9736
192.126,0.9741
192.5197,0.9746
192.9134,0.9751
193.3071,0.9756
193.7008,0.976
194.0945,0.9765
194.4882,0.977
194.8819,0.9775
195.2756,0.978
195.6693,0.9785
196.063,0.979
196.4567,0.9795
196.8504,0.98
197.2441,0.9802
197.6378,0.9804
198.0315,0.9806
198.4252,0.9808
198.8189,0.981
199.2126,0.9812
199.6063,0.9814
200,0.9816
200.3937,0.9818
200.7874,0.982
201.1811,0.9822
201.5748,0.9824
201.9685,0.9826
202.3622,0.9828
202.7559,0.983
203.1496,0.9832
203.5433,0.9834
203.937,0.9836
204.3307,0.9838
204.7244,0.984
205.1181,0.9842
205.5118,0.9844
205.9055,0.9846
206.2992,0.9848
206.6929,0.985
207.0866,0.9852
207.4803,0.9854
207.874,0.9856
208.2677,0.9858
208.6614,0.986
209.0551,0.9862
209.4488,0.9864
209.8425,0.9866
210.2362,0.9868
210.6299,0.987
211.0236,0.9872
211.4173,0.9874
211.811,0.9876
212.2047,0.9878
212.5984,0.988
212.9921,0.9882
213.3858,0.9884
213.7795,0.9886
214.1732,0.9888
214.5669,0.989
214.9606,0.9892
215.3543,0.9894
215.748,0.9896
216.1417,0.9898
216.5354,0.99
216.9291,0.9902
217.3228,0.9904
217.7165,0.9906
218.1102,0.9908
218.5039,0.991
218.8976,0.9912
219.2913,0.9914
219.685,0.9916
220.0787,0.9918
220.4724,0.992
220.8661,0.9922
221.2598,0.9924
221.6535,0.9926
222.0472,0.9928
222.4409,0.993
222.8346,0.9932
223.2283,0.9934
223.622,0.9936
224.0157,0.9938
224.4094,0.994
224.8031,0.9942
225.1969,0.9944
225.5906,0.9946
225.9843,0.9948
226.378,0.995
226.7717,0.9952
227.1654,0.9954
227.5591,0.9956
227.9528,0.9958
228.3465,0.996
228.7402,0.9962
229.1339,0.9964
229.5276,0.9966
229.9213,0.9968
230.315,0.997
230.7087,0.9972
231.1024,0.9974
231.4961,0.9976
231.8898,0.9978
232.2835,0.998
232.6772,0.9982
233.0709,0.9984
233.4646,0.9986
233.8583,0.9988
234.252,0.999
234.6457,0.9992
235.0394,0.9994
235.4331,0.9996
235.8268,0.9998
236.2205,1
236.6142,1
237.0079,1
237.4016,1
237.7953,1
238.189,1
238.5827,1
238.9764,1
239.3701,1
239.7638,1
240.1575,1
240.5512,1
240.9449,1
241.3386,1
241.7323,1
242.126,1
242.5197,1
242.9134,1
243.3071,1
243.7008,1
244.0945,1
244.4882,1
244.8819,1
245.2756,1
245.6693,1
246.063,1
246.4567,1
246.8504,1
247.2441,1
247.6378,1
248.0315,1
248.4252,1
248.8189,1
249.2126,1
249.6063,1
250,1
250.3937,1
250.7874,1
251.1811,1
251.5748,1
251.9685,1
252.3622,1
252.7559,1
253.1496,1
253.5433,1
253.937,1
254.3307,1
254.7244,1
255.1181,1
255.5118,1
255.9055,1
256.2992,1
256.6929,1
257.0866,1
257.4803,1
257.874,1
258.2677,1
258.6614,1
259.0551,1
259.4488,1
259.8425,1
260.2362,1
260.6299,1
261.0236,1
261.4173,1
261.811,1
262.2047,1
262.5984,1
262.9921,1
263.3858,1
263.7795,1
264.1732,1
264.5669,1
264.9606,1
265.3543,1
265.748,1
266.1417,1
266.5354,1
266.9291,1
267.3228,1
267.7165,1
268.1102,1
268.5039,1
268.8976,1
269.2913,1
269.685,1
270.0787,1
270.4724,1
270.8661,1
271.2598,1
271.6535,1
272.0472,1
272.4409,1
272.8346,1
273.2283,1
273.622,1
274.0157,1
274.4094,1
274.8031,1
275.1969,1
275.5906,1
275.9843,1
276.378,1
276.7717,1
277.1654,1
277.5591,1
277.9528,1
278.3465,1
278.7402,1
279.1339,1
279.5276,1
279.9213,1
280.315,1
280.7087,1
281.1024,1
281.4961,1
281.8898,1
282.2835,1
282.6772,1
283.0709,1
283.4646,1
283.8583,1
284.252,1
284.6457,1
285.0394,1
285.4331,1
285.8268,1
286.2205,1
286.6142,1
287.0079,1
287.4016,1
287.7953,1
288.189,1
288.5827,1
288.9764,1
289.3701,1
289.7638,1
290.1575,1
290.5512,1
290.9449,1
291.3386,1
291.7323,1
292.126,1
292.5197,1
292.9134,1
293.3071,1
293.7008,1
294.0945,1
294.4882,1
294.8819,1
295.2756,1
295.6693,1
296.063,1
296.4567,1
296.8504,1
297.2441,1
297.6378,1
298.0315,1
298.4252,1
298.8189,1
299.2126,1
299.6063,1
300,1
300.3937,1
300.7874,1
301.1811,1
301.5748,1
301.9685,1
302.3622,1
302.7559,1
303.1496,1
303.5433,1
303.937,1
304.3307,1
304.7244,1
305.1181,1
305.5118,1
305.9055,1
306.2992,1
306.6929,1
307.0866,1
307.4803,1
307.874,1
308.2677,1
308.6614,1
309.0551,1
309.4488,1
309.8425,1
310.2362,1
310.6299,1
311.0236,1
311.4173,1
311.811,1
312.2047,1
312.5984,1
312.9921,1
313.3858,1
313.7795,1
314.1732,1
314.5669,1
314.9606,1
315.3543,1
315.748,1
316.1417,1
316.5354,1
316.9291,1
317.3228,1
317.7165,1
318.1102,1
318.5039,1
318.8976,1
319.2913,1
319.685,1
320.0787,1
320.4724,1
320.8661,1
321.2598,1
321.6535,1
322.0472,1
322.4409,1
322.8346,1
323.2283,1
323.622,1
324.0157,1
324.4094,1
324.8031,1
325.1969,1
325.5906,1
325.9843,1
326.378,1
326.7717,1
327.1654,1
327.5591,1
327.9528,1
328.3465,1
328.7402,1
329.1339,1
329.5276,1
329.9213,1
330.315,1
330.7087,1
331.1024,1
331.4961,1
331.8898,1
332.2835,1
332.6772,1
333.0709,1
333.4646,1
333.8583,1
334.252,1
334.6457,1
335.0394,1
335.4331,1
335.8268,1
336.2205,1
336.6142,1
337.0079,1
337.4016,1
337.7953,1
338.189,1
338.5827,1
338.9764,1
339.3701,1
339.7638,1
340.1575,1
340.5512,1
340.9449,1
341.3386,1
341.7323,1
342.126,1
342.5197,1
342.9134,1
343.3071,1
343.7008,1
344.0945,1
344.4882,1
344.8819,1
345.2756,1
345.6693,1
346.063,1
346.4567,1
346.8504,1
347.2441,1
347.6378,1
348.0315,1
348.4252,1
348.8189,1
349.2126,1
349.6063,1
350,1
350.3937,1
350.7874,1
351.1811,1
351.5748,1
351.9685,1
352.3622,1
352.7559,1
353.1496,1
353.5433,1
353.937,1
354.3307,1
354.7244,1
355.1181,1
355.5118,1
355.9055,1
356.2992,1
356.6929,1
357.0866,1
357.4803,1
357.874,1
358.2677,1
358.6614,1
359.0551,1
359.4488,1
359.8425,1
360.2362,1
360.6299,1
361.0236,1
361.4173,1
361.811,1
362.2047,1
362.5984,1
362.9921,1
363.3858,1
363.7795,1
364.1732,1
364.5669,1
364.9606,1
365.3543,1
365.748,1
366.1417,1
366.5354,1
366.9291,1
367.3228,1
367.7165,1
368.1102,1
368.5039,1
368.8976,1
369.2913,1
369.685,1
370.0787,1
370.4724,1
370.8661,1
371.2598,1
371.6535,1
372.0472,1
372.4409,1
372.8346,1
373.2283,1
373.622,1
374.0157,1
374.4094,1
374.8031,1
375.1969,1
375.5906,1
375.9843,1
376.378,1
376.7717,1
377.1654,1
377.5591,1
377.9528,1
378.3465,1
378.7402,1
379.1339,1
379.5276,1
379.9213,1
380.315,1
380.7087,1
381.1024,1
381.4961,1
381.8898,1
382.2835,1
382.6772,1
383.0709,1
383.4646,1
383.8583,1
384.252,1
384.6457,1
385.0394,1
385.4331,1
385.8268,1
386.2205,1
386.6142,1
387.0079,1
387.4016,1
387.7953,1
388.189,1
388.5827,1
388.9764,1
389.3701,1
389.7638,1
390.1575,1
390.5512,1
390.9449,1
391.3386,1
391.7323,1
392.126,1
392.5197,1
392.9134,1
393.3071,1
393.7008,1
